update,agent_steps,elapsed_s,steps_per_s,mean_return,mean_score,mean_length,mean_grazes,mean_progress,best_score,policy_loss,value_loss,entropy
131,540672,476.8,1134.0,301.22,24965.8,2960.9,347.1,1.0,30880.0,-0.0022,17.4359,2.535
132,544768,480.6,1133.6,301.22,24965.0,2965.3,352.1,1.0,30880.0,-0.0051,11.5965,2.5389
133,548864,484.2,1133.6,302.44,24996.2,2961.8,346.4,1.0,30880.0,-0.001,23.1972,2.5639
134,552960,487.9,1133.3,302.4,24964.0,2980.0,348.7,1.0,30880.0,-0.0065,20.9207,2.5531
135,557056,491.6,1133.2,302.4,24964.0,2980.0,348.7,1.0,30880.0,0.0092,4.2025,2.5537
136,561152,495.3,1132.9,302.4,25068.2,2984.2,347.7,1.0,30880.0,0.0097,18.206,2.5454
137,565248,498.9,1133.0,301.66,25045.5,2989.9,347.4,1.0,30880.0,-0.0035,32.6876,2.5309
138,569344,502.5,1133.1,301.9,24965.0,2951.8,345.2,1.0,30880.0,-0.0024,25.6033,2.5543
139,573440,506.0,1133.2,302.8,24978.2,2963.8,345.1,1.0,30880.0,-0.0038,18.8384,2.5675
140,577536,509.7,1133.0,302.8,24978.2,2963.8,345.1,1.0,30880.0,-0.0102,2.8759,2.5675
141,581632,513.3,1133.2,303.84,25024.5,2993.0,346.1,1.0,30880.0,-0.0029,29.8872,2.5816
142,585728,516.9,1133.2,304.2,25058.5,3000.9,347.9,1.0,30880.0,-0.0017,8.3096,2.6057
143,589824,520.4,1133.4,304.2,25058.5,3000.9,347.9,1.0,30880.0,-0.0052,1.647,2.6179
144,593920,524.0,1133.4,303.4,25056.8,3000.0,351.0,1.0,30880.0,0.0068,7.3353,2.5977
145,598016,527.6,1133.5,303.4,25056.8,3000.0,351.0,1.0,30880.0,-0.006,2.6049,2.585
146,602112,531.2,1133.5,303.4,25056.8,3000.0,351.0,1.0,30880.0,-0.0056,2.3922,2.5599
147,606208,534.8,1133.5,303.4,25056.8,3000.0,351.0,1.0,30880.0,-0.0075,1.7449,2.5834
148,610304,538.5,1133.4,303.4,25056.8,3000.0,351.0,1.0,30880.0,-0.005,1.5907,2.6155
149,614400,542.1,1133.4,303.4,25056.8,3000.0,351.0,1.0,30880.0,-0.0053,1.9868,2.5893
150,618496,545.7,1133.5,302.75,25021.2,2994.7,353.4,1.0,30880.0,0.002,11.3495,2.5475
151,622592,549.2,1133.5,302.57,25034.8,3000.9,355.9,1.0,30880.0,-0.0089,7.4108,2.6058
152,626688,552.9,1133.5,302.49,25033.0,2982.8,355.1,1.0,30880.0,0.0008,8.3786,2.5865
153,630784,556.5,1133.5,302.5,25043.2,2956.6,351.9,1.0,30880.0,-0.0098,20.2844,2.575
154,634880,560.1,1133.4,302.63,25034.2,2955.9,348.9,1.0,30880.0,-0.0011,13.9129,2.5646
155,638976,563.7,1133.6,304.25,25143.5,2970.2,348.8,1.0,30880.0,-0.0002,21.6228,2.5716
156,643072,567.3,1133.6,302.36,25056.2,3016.8,355.6,1.0,30880.0,-0.0045,24.8819,2.5995
157,647168,570.9,1133.6,301.92,24980.5,3016.4,356.2,1.0,30880.0,0.0004,16.1919,2.5947
158,651264,574.5,1133.7,302.33,25049.8,3008.4,356.3,1.0,30880.0,-0.0047,14.2668,2.5656
159,655360,578.0,1133.9,302.68,25083.5,3021.7,356.0,1.0,30880.0,-0.0043,21.3565,2.5766
160,659456,581.5,1134.1,303.2,25100.2,3043.9,361.1,1.0,30880.0,-0.0035,17.5911,2.5856
161,663552,585.0,1134.2,303.07,25070.5,3033.8,359.2,1.0,30880.0,-0.0014,16.2182,2.5846
162,667648,588.6,1134.2,302.67,24933.5,3032.8,359.1,1.0,30880.0,-0.0051,14.7769,2.5811
163,671744,592.2,1134.3,304.36,24956.8,3016.8,353.3,1.0,30880.0,-0.001,25.7186,2.5731
164,675840,595.9,1134.2,304.22,24915.0,3020.1,353.2,1.0,30880.0,-0.0046,20.2101,2.5834
165,679936,599.6,1134.0,304.22,24915.0,3020.1,353.2,1.0,30880.0,-0.0087,1.9989,2.6071
166,684032,603.2,1134.0,304.22,24915.0,3020.1,353.2,1.0,30880.0,-0.0073,1.6856,2.6034
167,688128,606.8,1134.1,304.22,24915.0,3020.1,353.2,1.0,30880.0,-0.0075,2.0758,2.597
168,692224,610.5,1134.0,304.55,24941.5,3031.6,354.3,1.0,30880.0,-0.0045,4.4184,2.5682
169,696320,614.1,1133.9,304.55,24941.5,3031.6,354.3,1.0,30880.0,-0.0091,2.0743,2.5751
170,700416,617.6,1134.0,304.55,24941.5,3031.6,354.3,1.0,30880.0,-0.0036,1.8838,2.5945
171,704512,621.4,1133.8,304.55,24941.5,3031.6,354.3,1.0,30880.0,-0.0086,1.9863,2.5754
172,708608,624.9,1133.9,303.19,24803.8,3020.4,355.4,1.0,30880.0,-0.0016,15.7725,2.5628
173,712704,628.5,1134.0,303.19,24803.8,3020.4,355.4,1.0,30880.0,-0.0052,1.6162,2.5678
174,716800,632.0,1134.1,302.61,24746.5,3003.0,353.3,1.0,30880.0,-0.0056,4.2352,2.5727
175,720896,635.6,1134.3,302.0,24734.2,3006.2,353.8,1.0,30880.0,-0.0087,9.749,2.5528
176,724992,639.1,1134.4,301.65,24719.2,2968.6,350.4,1.0,30880.0,-0.0034,19.205,2.5241
177,729088,642.6,1134.6,303.02,24687.8,2937.9,338.5,1.0,30880.0,-0.0009,22.0726,2.5371
178,733184,646.0,1134.9,302.71,24659.0,2940.3,339.7,1.0,30880.0,-0.0086,5.2891,2.5607
179,737280,649.6,1135.0,303.73,24720.5,2935.2,337.0,1.0,30880.0,-0.0068,11.6169,2.54
180,741376,653.0,1135.3,302.53,24604.5,2903.7,334.1,1.0,30880.0,-0.0006,12.3242,2.5199
181,745472,656.5,1135.5,303.37,24587.0,2880.1,328.9,1.0,30880.0,-0.0049,19.8129,2.5432
182,749568,660.0,1135.7,303.37,24587.0,2880.1,328.9,1.0,30880.0,-0.012,2.1171,2.5367
183,753664,663.5,1135.9,303.01,24555.2,2867.0,328.3,1.0,30880.0,-0.0058,5.675,2.5063
184,757760,666.9,1136.2,304.44,24704.2,2872.3,325.8,1.0,30880.0,-0.0066,20.9968,2.4974
185,761856,670.4,1136.4,304.66,24716.8,2880.4,324.6,1.0,30880.0,-0.0041,5.7613,2.5186
186,765952,673.8,1136.7,303.78,24640.5,2876.1,321.3,1.0,30880.0,-0.0093,10.8104,2.5155
187,770048,677.3,1137.0,303.59,24603.0,2860.9,316.8,1.0,30880.0,-0.0019,5.8551,2.5471
188,774144,680.7,1137.3,303.88,24631.0,2866.1,316.9,1.0,30880.0,-0.0031,8.1765,2.5842
189,778240,684.2,1137.5,303.88,24631.0,2866.1,316.9,1.0,30880.0,-0.0055,1.6761,2.5401
190,782336,687.9,1137.4,303.88,24631.0,2866.1,316.9,1.0,30880.0,-0.0041,1.3579,2.535
191,786432,691.4,1137.4,303.16,24603.8,2867.2,317.1,1.0,30880.0,-0.004,3.9651,2.5118
192,790528,694.9,1137.7,303.16,24603.8,2867.2,317.1,1.0,30880.0,-0.0017,1.4379,2.544
193,794624,698.4,1137.8,303.16,24603.8,2867.2,317.1,1.0,30880.0,-0.0033,1.4498,2.5165
194,798720,701.9,1137.9,303.16,24603.8,2867.2,317.1,1.0,30880.0,-0.0054,1.6048,2.4804
195,802816,705.4,1138.1,303.16,24603.8,2867.2,317.1,1.0,30880.0,-0.0063,1.6619,2.4682
196,806912,708.9,1138.2,303.16,24603.8,2867.2,317.1,1.0,30880.0,-0.0043,3.4523,2.4779
197,811008,712.4,1138.4,301.59,24551.8,2866.5,324.3,1.0,30880.0,0.0015,25.1658,2.4301
198,815104,715.9,1138.5,301.01,24537.0,2868.2,325.7,1.0,30880.0,-0.0011,7.1793,2.4368
199,819200,719.6,1138.5,299.0,24462.5,2850.0,325.4,1.0,30880.0,-0.0019,21.2699,2.3763
200,823296,723.1,1138.6,300.23,24580.0,2862.0,323.3,1.0,30880.0,-0.0045,11.2248,2.4343
201,827392,726.6,1138.7,299.26,24538.8,2881.1,329.2,1.0,30880.0,-0.0013,29.8682,2.3387
202,831488,730.0,1139.0,298.54,24500.5,2906.9,329.9,1.0,30880.0,0.0063,12.5713,2.3748
203,835584,733.5,1139.2,297.31,24465.5,2906.8,330.6,1.0,30880.0,-0.0088,4.1075,2.4615
204,839680,736.9,1139.4,296.39,24374.5,2910.7,333.2,1.0,30880.0,-0.005,5.0086,2.3664
205,843776,740.7,1139.1,296.34,24361.2,2909.7,331.7,1.0,30880.0,0.0017,6.7808,2.3872
206,847872,744.3,1139.2,296.45,24370.5,2910.3,331.0,1.0,30880.0,-0.0006,5.2885,2.3476
207,851968,747.8,1139.3,296.58,24313.5,2908.2,331.2,1.0,30880.0,-0.0014,14.6983,2.3637
208,856064,751.3,1139.4,296.1,24266.0,2909.1,332.1,1.0,30880.0,0.0002,6.2839,2.3323
209,860160,754.8,1139.5,295.59,24279.8,2928.2,335.6,1.0,30880.0,0.0029,26.8268,2.3896
210,864256,758.2,1139.8,294.24,24238.0,2956.2,343.9,1.0,30880.0,0.0004,6.0212,2.4437
211,868352,761.7,1140.0,294.24,24238.0,2956.2,343.9,1.0,30880.0,-0.0047,1.358,2.4494
212,872448,765.2,1140.2,294.24,24238.0,2956.2,343.9,1.0,30880.0,-0.0025,1.9623,2.4399
213,876544,768.7,1140.2,294.24,24238.0,2956.2,343.9,1.0,30880.0,-0.0068,1.5819,2.4424
214,880640,772.2,1140.4,293.97,24216.2,2958.1,346.2,1.0,30880.0,-0.0019,10.233,2.3711
215,884736,775.8,1140.5,293.97,24216.2,2958.1,346.2,1.0,30880.0,-0.0052,1.4654,2.407
216,888832,779.4,1140.4,293.97,24216.2,2958.1,346.2,1.0,30880.0,-0.0105,1.5657,2.3643
217,892928,783.0,1140.4,293.97,24216.2,2958.1,346.2,1.0,30880.0,-0.0051,1.5518,2.3592
218,897024,786.5,1140.6,293.97,24216.2,2958.1,346.2,1.0,30880.0,-0.0009,1.9795,2.3825
219,901120,790.3,1140.2,293.97,24216.2,2958.1,346.2,1.0,30880.0,-0.0064,1.7909,2.3505
220,905216,793.9,1140.3,293.97,24216.2,2958.1,346.2,1.0,30880.0,-0.0048,2.1313,2.3066
221,909312,797.7,1140.0,293.97,24216.2,2958.1,346.2,1.0,30880.0,0.0048,2.5114,2.2171
222,913408,801.4,1139.7,293.95,24268.5,2964.2,344.0,1.0,30880.0,0.001,18.5609,2.0933
223,917504,805.0,1139.7,293.4,24277.0,2962.7,346.9,1.0,30880.0,-0.0038,22.6597,2.1504
224,921600,808.7,1139.6,294.09,24238.2,2973.6,345.3,1.0,30880.0,-0.0018,20.2467,2.1901
225,925696,812.4,1139.4,294.51,24278.0,2989.5,345.4,1.0,30880.0,-0.0039,15.9204,2.2108
226,929792,816.1,1139.3,295.34,24328.2,3028.0,350.0,1.0,30880.0,-0.0013,23.0466,2.1818
227,933888,819.7,1139.3,295.19,24311.5,3028.1,351.8,1.0,30880.0,-0.0018,23.0181,2.2411
228,937984,823.3,1139.3,294.25,24245.8,3017.1,349.4,1.0,30880.0,-0.0036,9.9766,2.3119
229,942080,826.9,1139.2,294.25,24245.8,3017.1,349.4,1.0,30880.0,-0.0078,1.9158,2.3291
230,946176,830.7,1139.1,294.14,24218.5,3049.2,353.2,1.0,30880.0,-0.0004,8.8428,2.2454
231,950272,834.2,1139.2,295.05,24225.8,3018.4,351.3,1.0,30880.0,-0.002,17.8393,2.1912
